#x_m,y_m,w_tr_right_m,w_tr_left_m
-104.18518346965811,-16.708922435029326,5,5
-104.36598828812195,-16.245077205340753,5,5
-104.54646196879446,-15.780864504647724,5,5
-104.7265236295782,-15.316271591931743,5,5
-104.90609734261355,-14.851288310446737,5,5
-105.08513786543519,-14.385920003694173,5,5
-105.2636474963632,-13.92019597593115,5,5
-105.44163933078951,-13.454151025905219,5,5
-105.61912659281933,-12.987820073198845,5,5
-105.79612262829663,-12.521238139117493,5,5
-105.9726453315942,-12.05444131526274,5,5
-106.14874016291267,-11.587471872903002,5,5
-106.32449647782822,-11.12038188109466,5,5
-106.50001355361623,-10.653225622971142,5,5
-106.67539066881616,-10.186057374733615,5,5
-106.85072707144113,-9.718931388107855,5,5
-107.02611989225424,-9.251900018404301,5,5
-107.20165320513445,-8.78500386589495,5,5
-107.37738966496299,-8.318264246158689,5,5
-107.55338702796442,-7.8516981066496925,5,5
-107.72970300548818,-7.385322404532698,5,5
-107.90639526951145,-6.919154108447097,5,5
-108.08351644015548,-6.453208227977132,5,5
-108.26108656756156,-5.987486996766221,5,5
-108.43906979967673,-5.5219706990769994,5,5
-108.61741751473808,-5.056634620034783,5,5
-108.79608112579223,-4.591454077622836,5,5
-108.97501207468272,-4.126404419773598,5,5
-109.15416074207359,-3.6614608261451984,5,5
-109.33347021539714,-3.19659718317248,5,5
-109.512870353246,-2.7317850126878342,5,5
-109.69228796171592,-2.2669953049665175,5,5
-109.87164985416621,-1.8021990699770924,5,5
-110.05088285028685,-1.3373673371101231,5,5
-110.22991548969401,-0.8724721244320346,5,5
-110.40868844655337,-0.40749232779694994,5,5
-110.5871656758606,0.057579978291110584,5,5
-110.76531657730081,0.5227496292597802,5,5
-110.94311057107434,0.9880214394111725,5,5
-111.12051710173616,1.45340020130699,5,5
-111.29750662437218,1.9188898084184554,5,5
-111.47405698977205,2.3844875620681343,5,5
-111.65016113793054,2.8501773231016148,5,5
-111.82581561425522,3.3159397793496543,5,5
-112.00101703062928,3.781755613858648,5,5
-112.17576206677214,4.247605512426299,5,5
-112.35004878558362,4.713469834488142,5,5
-112.5238859548186,5.179326232205327,5,5
-112.69730588284722,5.645146366103908,5,5
-112.87034645072694,6.110900512080178,5,5
-113.04304548730535,6.576559008296458,5,5
-113.21544075811079,7.04209226408921,5,5
-113.38756993402876,7.50747145012638,5,5
-113.55947040881277,7.9726741634347915,5,5
-113.73117899257531,8.437693840570113,5,5
-113.90273225531942,8.902527735261952,5,5
-114.07416664688378,9.367173076740034,5,5
-114.2455185044373,9.831627069096529,5,5
-114.41682278610212,10.2958875730612,5,5
-114.58809801310183,10.759961175140413,5,5
-114.75931385932176,11.22388054722768,5,5
-114.93042795160453,11.68768473057395,5,5
-115.10139796448213,12.151412662617524,5,5
-115.27218160096841,12.61510319427569,5,5
-115.44273649834709,13.078795092989335,5,5
-115.613017428624,13.542526536109705,5,5
-115.78296823274194,14.006333608815252,5,5
-115.95252534259569,14.470253371300965,5,5
-116.12163208664981,14.934320966847388,5,5
-116.29023028638046,15.398571674766341,5,5
-116.45826087454996,15.863041012530507,5,5
-116.62567268247696,16.327758928761842,5,5
-116.79244615156063,16.79273321802773,5,5
