#x_m,y_m,w_tr_right_m,w_tr_left_m
-53.02929198400011,32.5863489642624,2,2
-53.1887586725038,33.05353537365109,2,2
-53.347554648453354,33.52092271987713,2,2
-53.5056796928531,33.98851315999626,2,2
-53.663133331829286,34.45630876399516,2,2
-53.819914956683,34.92431155242595,2,2
-53.976023921986034,35.39252352727719,2,2
-54.13145956156778,35.86094667694789,2,2
-54.286221188567694,36.32958297618914,2,2
-54.44030877739711,36.798433916531756,2,2
-54.593725228846296,37.26749894782191,2,2
-54.74647521025101,37.73677627911349,2,2
-54.89856367254502,38.206263900525755,2,2
-55.04999555719283,38.675959785029406,2,2
-55.20077579634959,39.14586188828316,2,2
-55.3509096572424,39.61596821232541,2,2
-55.50040394069006,40.08627702833609,2,2
-55.64926657668268,40.55678680355239,2,2
-55.79750569064386,41.02749602861026,2,2
-55.945129392914254,41.498403178294254,2,2
-56.092145779144744,41.96950671131199,2,2
-56.23856177157462,42.44080565022645,2,2
-56.384378826136455,42.91230172989277,2,2
-56.52959345638883,43.3839991345517,2,2
-56.674201167561264,43.85590252849501,2,2
-56.81819743834167,44.328016564651136,2,2
-56.961577720572436,44.800345884742256,2,2
-57.104336944985675,45.27289522735839,2,2
-57.24646754809835,45.74566985933078,2,2
-57.387959235141096,46.21867562788144,2,2
-57.52880110887236,46.691918495811535,2,2
-57.66898224167433,47.16540441656308,2,2
-57.80849167481645,47.6391393344232,2,2
-57.94731813191014,48.11312916907876,2,2
-58.08544876302223,48.587379747125986,2,2
-58.22286864695055,49.061896773843735,2,2
-58.359562379276554,49.5366859196935,2,2
-58.495514524166396,50.01175284499637,2,2
-58.63070961369613,50.48710319998409,2,2
-58.7651320325745,50.962742551758936,2,2
-58.89876545009728,51.43867602245072,2,2
-59.031592421638095,51.91490803047361,2,2
-59.163595226265926,52.391442821858796,2,2
-59.29475611585807,52.86828462841552,2,2
-59.42505731489657,53.34543766759633,2,2
-59.554480921292026,53.82290608161943,2,2
-59.68300833532592,54.300693587213374,2,2
-59.81061966373197,54.778803104823155,2,2
-59.9372946931953,55.2572373523838,2,2
-60.06301319057691,55.735999028215375,2,2
-60.187754903295485,56.215090810802515,2,2
-60.31150024405079,56.69451508461232,2,2
-60.434235101241946,57.17427201434025,2,2
-60.555957710323405,57.654356794797394,2,2
-60.67666929488226,58.13476339837303,2,2
-60.796371100678314,58.61548576281233,2,2
-60.91506439579419,59.096517791490655,2,2
-61.03275099351086,59.57785321257808,2,2
-61.149438071999946,60.05948427812503,2,2
-61.265147008537575,60.54139937903513,2,2
-61.37990268900967,61.023585931122085,2,2
-61.49373004225599,61.5060313112365,2,2
-61.606654037948886,61.98872285839238,2,2
-61.71869977390085,62.47164789471,2,2
-61.829893733026424,62.95479400493173,2,2
-61.94026665231114,63.438149675646315,2,2
-62.04985034005641,63.92170359415335,2,2
-62.15867662425112,64.4054444174219,2,2
-62.26677735089755,64.8893607726656,2,2
-62.37418438370304,65.37344127224047,2,2
-62.48092965257205,65.85767502793664,2,2
-62.587045287375844,66.3420530989772,2,2
-62.69256346852699,66.82656701524097,2,2
-62.79751352141044,67.31120891757075,2,2
-62.901929320521994,67.7959698884895,2,2
-63.00584475581769,68.28084099589664,2,2
-63.109292453131324,68.76581409350712,2,2
-63.2123068107786,69.2508827015905,2,2
-63.31492268273453,69.73604075921034,2,2
-63.41717492473826,70.22128219115869,2,2
-63.51909838539992,70.70660089802722,2,2
-63.62072790732208,71.19199075582756,2,2
-63.72209784496555,71.67744609432826,2,2
-63.823240603598265,72.16296314490565,2,2
-63.92418797610247,72.64853871605551,2,2
-64.02497171400641,73.13416962916352,2,2
-64.1256235669163,73.61985268112922,2,2
-64.22617528469078,74.10558464388436,2,2
-64.32665104477951,74.59136436248183,2,2
-64.42704409980283,75.07719922571,2,2
-64.52733638152819,75.56309973643414,2,2
-64.62750876558734,76.0490766684173,2,2
-64.72754210436158,76.5351407805186,2,2
-64.8274172243221,77.02130281775568,2,2
-64.92710887677595,77.50757526145263,2,2
-65.02656669507448,77.99397783965873,2,2
-65.12572967844507,78.4805333403311,2,2
-65.22453552142608,78.96726491379063,2,2
-65.32292180739563,79.45419572801137,2,2
-65.42082599513235,79.94134897299693,2,2
-65.51818553388144,80.4287472977929,2,2
-65.61493826403957,80.91641098992034,2,2
-65.71102213137286,81.40435922984616,2,2
-65.80637495586959,81.8926110777539,2,2
-65.9009343884996,82.38118562402326,2,2
-65.99463790115165,82.8701019917538,2,2
-66.08742336882656,83.35937783753073,2,2
-66.1792310145914,83.8490244192802,2,2
-66.27000223204246,84.33904966506277,2,2
-66.35967847093625,84.8294610233635,2,2
-66.44820105465854,85.32026593068841,2,2
-66.53551118116089,85.81147181115446,2,2
-66.62155156136293,86.30308593690916,2,2
-66.70627185549456,86.79511497068897,2,2
-66.78962545570356,87.28756524156064,2,2
-66.87156618008656,87.7804430272048,2,2
-66.95204770781613,88.2737546014464,2,2
-67.03102357667011,88.76750623414709,2,2
-67.10844690354443,89.2617058589205,2,2
-67.18426938351524,89.75636869780884,2,2
-67.25844172071437,90.25151407416195,2,2
-67.33091414586174,90.7471619975216,2,2
-67.40163649488599,91.2433325820672,2,2
-67.47055819004159,91.74004605303358,2,2
-67.53762487908556,92.23732290961324,2,2
-67.60276712574341,92.73518447173635,2,2
-67.66590700858298,93.23365258020569,2,2
-67.72696484328434,93.73274929140143,2,2
-67.78586026526746,94.23249683273801,2,2
-67.84251219490737,94.73291761098379,2,2
-67.89684667860851,95.23403228403066,2,2
-67.94882319216762,95.7358532972964,2,2
-67.99841781315418,96.23838902229558,2,2
-68.04560836000678,96.74164741140771,2,2
-68.09037219956413,97.2456365366149,2,2
-68.13268623748824,97.75036459158235,2,2
-68.17254925305997,98.25583578538071,2,2
-68.21005556730313,98.76203677825973,2,2
-68.24534103648412,99.26894658970888,2,2
-68.27854655922796,99.7765433009298,2,2
-68.30981400145404,100.28480480356718,2,2
-68.33928618898854,100.79370880048498,2,2
-68.36711215304254,101.3032342154124,2,2
-68.39346395603964,101.81336566778786,2,2
-68.41851180281922,102.3240948055419,2,2
